name,price_per_night
Möbliertes Studio mit Garten W5,61
Gemütliche Wohnung im Zentrum von St. Gallen,78
Zur Geduld (direkt am Bahnhof),69
Charmante Altbauwohnung ruhig und doch zentral,101
Gemütliche Wohnung,70
Poliba St.Gallen-3 1/2 zimmer wohnung,50
"gemütliches Studio im EG, im Appenzellerland",60
Schönes Zimmer in der Nähe von HSG,64
Zeit,64
Gemütliche Altbauwohnung im Zentrum,96
Studio mit Panoramaaussicht,58
Studio mit Charme und Aussicht,58
gemütliches Zimmer mit Privatsphäre,43
Eigene Studiowohnung mit Küche,72
Dein Zuhause in Herisau,104
Das Haus mit dem Schwein,54
Im Grünen nahe des Zentrum (Familienzimmer 2+2),55
Einzigartige schöne Altbau- Wohnung im Zentrum,123
heimelige Wohnung in Goldach,67
Ganze Wohnung mitten in der Altstadt von Arbon,61
gemütliches Zimmer mit Privatsphäre,43
Charmante Wohnung im Zentrum von Goldach,71
2. Charmante Wohnung in Seenähe,67
Im Grünen nahe des Zentrum (Familienzimmer 2+2),55
Helle Wohnung über St.Gallen,100
Schöne 2 1/2 Zimmer Dachwohnung,99
2.5 Zimmer Dachwohnung mit Gartensitzplatz,121
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",58
Gartenstudio in Appenzellerhaus,63
Als Wohnung in der Innenstadt von St. Gallen,73
"Bungalow mit Traumaussicht
LOMA BUENA VISTA",119
Atelier/Loft im Grünen Individuelles Altes Haus,126
Idyllische Wohnung in der Natur,141
"Leben wie die Locals"" mitten im Zentrum""",86
spezielle Wohnung in Goldach,75
Haus zur Quelle,72
"2 Zimmer mit Balkon, Netflix und Mietfahrräder",112
Großzügige Wohnung in Herisau,83
Studio Trailalps: in der Nähe von St. Gallen,66
Ferien auf dem Billenberghof,142
Kernsanierte Wohnung nähe Bahnhof und Zentrum,129
Schön schlafen auf dem Bauernhof,93
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",97
Olma / Stadtzentrum / Cosy,198
Einkaufszentrum Arena | Kybunpark |,93
Stadtstudio,100
Gemütliches Zimmer mit Frühstück,42
"helle grosse Zimmer, ruhig und naturnah",49
Modernes Studio mit Dachterrasse,87
Gemütliches Studio am Fuße des Gäbris,64
Grosszügige Garten-Wohnung,171
Wunderschönes Studio inmitten der Natur,97
TouchBed | Budget-Studio,119
Ferienhaus Sennastübli,107
Ein bett im Keller/ Abstellraum,40
"Moderne, helle Ferienwohnung mit gratis Parkplatz",115
Felix' Global Citizen „Ein Original-Airbnb“,70
Zimmer III/III direkt am Bahnhof St.Gallen,82
Sympathische Wohnung in Arbon,85
St-Gallen Ost 4 Spital Olma Uni,160
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",207
Laddaswisshouse,106
St Gallen Ost G. I Olma I Zentral I Culture,354
Normalkonsum | 12 | Erdgeschoss,128
Altbauwohnung mit Charme,87
Yoli's Ferienwohnung,100
Das Studio zum Appenzellerland,107
"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",177
Familienfreundliches Haus am Bodensee,225
Traumhafte Wohnung mit Bergblick,104
Freundliche Altbauwohnung,144
Tiny House Nähe Sitter,104
"Haus Erika, Hausteil",190
Rustikales Bauernhaus mit Fernsicht,105
Moderne Wohnung mit eigenem Bad und Teeküche,96
Normalkonsum | 31 | Obere Etage,152
Modernes Loft direkt am Bodensee,190
*Ferienwohnung 1 Ruhepol*,100
Elegante Barockstil Wohnung City,212
Studio über Bäckerei,59
"Privatzimmer im Baudenkmal, zentral gelegen",56
Universität/Olma/Altstadt/Einkaufen/sehr zentral,76
Wohnung EG und 1.Stock,99
Ferienwohnung gegenüber Bahnhof separater Eingang,79
Normalkonsum | 11 | Erdgeschoss,128
Appenzeller Haus - nebelfreies Paradies,148
126 qm Wohnung Seenähe und Seeblick - 4 Betten,179
"Gemütliches Bett, Spaß, Frühstück wird bereitgestellt",44
Ruhiges Tiny House in der Nähe des Waldes,116
Ruhiges Wohlfühlzimmer mit eigenem Bad,82
Casa Siddhartha - R. Musil,47
"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",207
Gemütliches Apartment am Schloss,114
"Kleines, cooles Loft im schönen Appenzellerland",139
Casa Siddhartha - „Hemingway“,36
Top moderne Wohnung sehr zentral zur Messe,173
Leimathof Attica,187
Charmante Wohnung in Nähe WBZ Holzweid (HSG),155
Ruhiges Paradiesli mit Rheintal- und Alpsteinblick,78
"Gelb, gelb, gelb, gelb!",157
,
Schönes Zimmer in der Nähe von HSG,71
"gemütliches Studio im EG, im Appenzellerland",72
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",55
"Schönes Einzelzimmer, zentral",35
heimelige Wohnung in Goldach,95
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,88
Elegante Barockstil Wohnung City,212
gemütliches Zimmer mit Privatsphäre,45
In der Natur auftanken,45
Charmante Wohnung im Zentrum von Goldach,102
Schöne 2 1/2 Zimmer Dachwohnung,139
"Sönd willkomm z 'Herisau! Zentral, neu, stillvoll",110
"Moderne, helle Ferienwohnung mit gratis Parkplatz",108
Gemütliche Wohnung über einer Bäckerei,77
Ferienwohnung Rotenwies,169
"Herisau, Zuhause mittendrin und trotzdem ruhig",58
Komfortables Doppelzimmer – zentral,42
"Birkenhof, Haus Märli",587
Ferienwohnung Rietbach,106
Haus zur Quelle,91
Gartenstudio in Appenzellerhaus,80
spezielle Wohnung in Goldach,99
"Zwei helle Zimmer, Küche und Bad",104
Gemütliches Zimmer mit Frühstück,42
Gemütliches kleines Häuschen mit Kamin und Garten,194
Appartement im Grünen,111
Nah an der Natur und ÖV vor der Tür (mit Ticket),75
Bauernhaus mit Bildhauer Ambiente,113
"Grosszügige, schöne und ruhige Wohnung",110
"Kleines, cooles Loft im schönen Appenzellerland",138
Grosszügige Garten-Wohnung,210
Gemütliches Apartment am Schloss,101
Yoli's Ferienwohnung,115
Ferienwohnung gegenüber Bahnhof separater Eingang,93
Säntiszimmer,44
Charmante und zentrale Wohnung am Weiherpark Arbon,211
Dein Zuhause in Herisau,184
Sympathische Wohnung in Arbon,88
Schüür 492,108
Schöne Wohnung im Herzen von Herisau bis 4 Gäste,261
Gemütliche Wohnung in St. Gallen,133
Hist. Stadtmauer mit Seeblick,119
Wunderschönes Studio inmitten der Natur,128
Einzigartige Lage direkt am See mit endlosem Blick,202
"Haus Erika, Hausteil",233
Attikawohnung in Arbon am See,184
TouchBed | Budget-Studio,227
Laddaswisshouse,140
Ein kleines Privatzimmer – fantastischer Seeblick,61
Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.,76
Bijou im Rocky Docky Haus,126
"Gemütliches Bett, Spaß, Frühstück wird bereitgestellt",51
1er Zimmer ruhig 5 Min. bis ÖV,67
13 - Gästehaus Erika - Hundwil - Appenzellerland,49
Schlossapartament,109
Restaurant Hirschen 1,38
*Ferienwohnung 2 Seesitz*,150
Schöne Wohnung im Herzen von Herisau bis 6 Gäste,380
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",258
Haus MiLu Ferienwohnung,150
"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",255
Charmante Wohnung in Nähe WBZ Holzweid (HSG),165
"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",218
06 - Gästehaus Erika - Hundwil - Appenzellerland,49
Zimmer mit traumhaftem Ausblick,92
Komfortables Zimmer/Bad & Frühstück,77
Zimmer auf privatem Stockwerk,76
Häuschen mitten in der Natur,150
"Gelb, gelb, gelb, gelb!",202
Fühl dich wie zuhause,196
Gemütliches Zimmer auf dem Demeterhof.,88
Gästezimmer im Grünen,69
hübsche 2 1/2 Zimmer Dachwohnung,100
Gemütliches Studio am Fuße des Gäbris,82
"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",258
Säntis Gold,161
Ferienhaus mit Charme an traumhafter Lage,150
"Komplett neu renovierte, heimelige Ferienwohnung",115
Im Grünen nahe des Zentrum (Einzelzimmer),69
Casa Siddhartha - R. Musil,61
Grosszügige Wohnung mit Garten in idyllischer Lage,198
Leimathof Attica,264
Gastfreundschaft am Bodensee,213
Unterkünft 2 Minuten von See,80
Casa Siddhartha - „Hemingway“,47
Moderne Wohnung nahe OLMA Messe,212
Privates Zimmer - in Wohnung mit Seesicht,88
Ferienwohnung mit herrlicher Sicht auf Bodensee,143
"Zimmer in St. Gallen Uni, HSG, FHS2",73
05 - Gästehaus Erika - Hundwil - Appenzellerland,49
Modernes Studio mit Dachterrasse,173
Moderne Ruheoase auf entlegenem Hügel,196
Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,51
Echte Gemütlichkeit zum Ausruhen,75
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",253
Mällis Heimetli,231
Gemütliches Ferienstudio,110
Appartment im Yoga-Studio,123
Ruhiges Paradiesli mit Rheintal- und Alpsteinblick,100
Doppelzimmer im Kurort Heiden,96
